Image,Distance(m),Error(m)
0000000005.png,11.19140625,68.80859375
0000000005.png,11.2578125,68.7421875
0000000005.png,11.1171875,68.8828125
0000000005.png,11.37890625,68.62109375
0000000005.png,12.0234375,67.9765625
0000000005.png,12.10546875,67.89453125
0000000005.png,11.94921875,68.05078125
0000000005.png,11.96484375,68.03515625
0000000005.png,11.9609375,68.0390625
0000000005.png,11.9296875,68.0703125
0000000005.png,11.7578125,68.2421875
0000000005.png,11.515625,68.484375
0000000005.png,11.9609375,68.0390625
0000000005.png,11.875,68.125
0000000005.png,12.0078125,67.9921875
0000000005.png,11.953125,68.046875
0000000005.png,16.16015625,63.83984375
0000000005.png,12.00390625,67.99609375
0000000005.png,16.31640625,63.68359375
0000000005.png,16.23828125,63.76171875
0000000005.png,16.2421875,63.7578125
0000000005.png,16.26171875,63.73828125
0000000005.png,16.15234375,63.84765625
0000000005.png,12.03515625,67.96484375
0000000005.png,11.984375,68.015625
0000000005.png,11.98046875,68.01953125
0000000005.png,11.97265625,68.02734375
0000000005.png,16.640625,63.359375
0000000005.png,16.7109375,63.2890625
0000000005.png,16.6875,63.3125
0000000005.png,16.5234375,63.4765625
0000000005.png,16.41015625,63.58984375
0000000005.png,16.40234375,63.59765625
0000000005.png,16.37890625,63.62109375
0000000005.png,16.30859375,63.69140625
0000000005.png,16.359375,63.640625
0000000005.png,16.28125,63.71875
0000000005.png,16.2890625,63.7109375
0000000005.png,16.23828125,63.76171875
0000000005.png,11.98828125,68.01171875
0000000005.png,16.73828125,63.26171875
0000000005.png,16.7109375,63.2890625
0000000005.png,16.7265625,63.2734375
0000000005.png,17.453125,62.546875
0000000005.png,17.4453125,62.5546875
0000000005.png,17.4375,62.5625
0000000005.png,17.5,62.5
0000000005.png,16.48828125,63.51171875
0000000005.png,16.48828125,63.51171875
0000000005.png,16.40625,63.59375
0000000005.png,12.0,68.0
0000000005.png,17.44921875,62.55078125
0000000005.png,17.52734375,62.47265625
0000000005.png,17.37890625,62.62109375
0000000005.png,17.34765625,62.65234375
0000000005.png,17.5625,62.4375
0000000005.png,17.51953125,62.48046875
0000000005.png,17.44140625,62.55859375
0000000005.png,16.78125,63.21875
0000000005.png,17.453125,62.546875
0000000005.png,16.44921875,63.55078125
0000000005.png,16.3828125,63.6171875
0000000005.png,16.40234375,63.59765625
0000000005.png,16.44140625,63.55859375
0000000005.png,16.30859375,63.69140625
0000000005.png,11.99609375,68.00390625
0000000005.png,12.03125,67.96875
0000000005.png,11.9921875,68.0078125
0000000005.png,17.48828125,62.51171875
0000000005.png,17.55859375,62.44140625
0000000005.png,17.5859375,62.4140625
0000000005.png,17.57421875,62.42578125
0000000005.png,17.546875,62.453125
0000000005.png,17.5234375,62.4765625
0000000005.png,17.515625,62.484375
0000000005.png,16.49609375,63.50390625
0000000005.png,16.5390625,63.4609375
0000000005.png,16.52734375,63.47265625
0000000005.png,16.51171875,63.48828125
0000000005.png,16.45703125,63.54296875
0000000005.png,16.4765625,63.5234375
0000000005.png,16.39453125,63.60546875
0000000005.png,16.4140625,63.5859375
0000000005.png,16.39453125,63.60546875
0000000005.png,16.38671875,63.61328125
0000000005.png,16.359375,63.640625
0000000005.png,16.3671875,63.6328125
0000000005.png,24.171875,55.828125
0000000005.png,23.9609375,56.0390625
0000000005.png,12.046875,67.953125
0000000005.png,11.7734375,68.2265625
0000000005.png,16.77734375,63.22265625
0000000005.png,16.73828125,63.26171875
0000000005.png,16.734375,63.265625
0000000005.png,16.43359375,63.56640625
0000000005.png,16.5,63.5
0000000005.png,24.09765625,55.90234375
0000000005.png,11.94140625,68.05859375
0000000005.png,18.80078125,61.19921875
0000000005.png,17.58203125,62.41796875
0000000005.png,17.52734375,62.47265625
0000000005.png,17.5,62.5
0000000005.png,17.515625,62.484375
0000000005.png,17.50390625,62.49609375
0000000005.png,17.06640625,62.93359375
0000000005.png,17.0625,62.9375
0000000005.png,17.0,63.0
0000000005.png,16.96875,63.03125
0000000005.png,16.9921875,63.0078125
0000000005.png,16.98046875,63.01953125
0000000005.png,16.98046875,63.01953125
0000000005.png,16.81640625,63.18359375
0000000005.png,16.79296875,63.20703125
0000000005.png,16.8203125,63.1796875
0000000005.png,16.75390625,63.24609375
0000000005.png,16.74609375,63.25390625
0000000005.png,16.73828125,63.26171875
0000000005.png,16.74609375,63.25390625
0000000005.png,16.78125,63.21875
0000000005.png,16.7421875,63.2578125
0000000005.png,16.74609375,63.25390625
0000000005.png,16.40234375,63.59765625
0000000005.png,16.5703125,63.4296875
0000000005.png,16.47265625,63.52734375
0000000005.png,16.40625,63.59375
0000000005.png,16.3828125,63.6171875
0000000005.png,12.71484375,67.28515625
0000000005.png,12.48828125,67.51171875
0000000005.png,12.48828125,67.51171875
0000000005.png,12.6015625,67.3984375
0000000005.png,12.67578125,67.32421875
0000000005.png,12.703125,67.296875
0000000005.png,17.51171875,62.48828125
0000000005.png,17.46484375,62.53515625
0000000005.png,17.4921875,62.5078125
0000000005.png,17.453125,62.546875
0000000005.png,17.453125,62.546875
0000000005.png,17.42578125,62.57421875
0000000005.png,17.46484375,62.53515625
0000000005.png,17.75390625,62.24609375
0000000005.png,17.578125,62.421875
0000000005.png,17.55859375,62.44140625
0000000005.png,17.546875,62.453125
0000000005.png,17.51953125,62.48046875
0000000005.png,17.51171875,62.48828125
0000000005.png,17.50390625,62.49609375
0000000005.png,17.98828125,62.01171875
0000000005.png,18.1484375,61.8515625
0000000005.png,18.13671875,61.86328125
0000000005.png,17.05078125,62.94921875
0000000005.png,16.984375,63.015625
0000000005.png,16.99609375,63.00390625
0000000005.png,17.00390625,62.99609375
0000000005.png,16.7578125,63.2421875
0000000005.png,16.8203125,63.1796875
0000000005.png,16.77734375,63.22265625
0000000005.png,16.39453125,63.60546875
0000000005.png,16.54296875,63.45703125
0000000005.png,16.49609375,63.50390625
0000000005.png,16.4375,63.5625
0000000005.png,16.38671875,63.61328125
0000000005.png,16.39453125,63.60546875
0000000005.png,16.36328125,63.63671875
0000000005.png,16.37109375,63.62890625
0000000005.png,12.54296875,67.45703125
0000000005.png,12.6875,67.3125
0000000005.png,12.58203125,67.41796875
0000000005.png,12.70703125,67.29296875
0000000005.png,18.87890625,61.12109375
0000000005.png,19.0,61.0
0000000005.png,17.5078125,62.4921875
0000000005.png,17.58203125,62.41796875
0000000005.png,17.53515625,62.46484375
0000000005.png,17.07421875,62.92578125
0000000005.png,17.171875,62.828125
0000000005.png,17.0078125,62.9921875
0000000005.png,16.98828125,63.01171875
0000000005.png,16.82421875,63.17578125
0000000005.png,16.77734375,63.22265625
0000000005.png,16.78125,63.21875
0000000005.png,16.80078125,63.19921875
0000000005.png,16.36328125,63.63671875
0000000005.png,16.51953125,63.48046875
0000000005.png,16.6015625,63.3984375
0000000005.png,16.6875,63.3125
0000000005.png,16.49609375,63.50390625
0000000005.png,16.41015625,63.58984375
0000000005.png,16.5,63.5
0000000005.png,16.46875,63.53125
0000000005.png,16.3515625,63.6484375
0000000005.png,16.35546875,63.64453125
0000000005.png,16.359375,63.640625
0000000005.png,16.3359375,63.6640625
0000000005.png,16.359375,63.640625
0000000005.png,12.64453125,67.35546875
0000000005.png,12.671875,67.328125
0000000005.png,12.8203125,67.1796875
0000000005.png,12.79296875,67.20703125
0000000005.png,12.8203125,67.1796875
0000000005.png,17.7109375,62.2890625
0000000005.png,18.078125,61.921875
0000000005.png,17.58203125,62.41796875
0000000005.png,17.5546875,62.4453125
0000000005.png,17.5390625,62.4609375
0000000005.png,17.828125,62.171875
0000000005.png,17.71875,62.28125
0000000005.png,17.02734375,62.97265625
0000000005.png,17.03515625,62.96484375
0000000005.png,16.91796875,63.08203125
0000000005.png,16.859375,63.140625
0000000005.png,16.984375,63.015625
0000000005.png,16.84765625,63.15234375
0000000005.png,16.87890625,63.12109375
0000000005.png,16.84375,63.15625
0000000005.png,16.7890625,63.2109375
0000000005.png,16.9453125,63.0546875
0000000005.png,16.94140625,63.05859375
0000000005.png,16.8515625,63.1484375
0000000005.png,16.8203125,63.1796875
0000000005.png,16.5703125,63.4296875
0000000005.png,16.53515625,63.46484375
0000000005.png,16.46875,63.53125
0000000005.png,16.46484375,63.53515625
0000000005.png,16.41796875,63.58203125
0000000005.png,16.375,63.625
0000000005.png,16.37109375,63.62890625
0000000005.png,16.33203125,63.66796875
0000000005.png,16.39453125,63.60546875
0000000005.png,16.39453125,63.60546875
0000000005.png,16.375,63.625
0000000005.png,17.59765625,62.40234375
0000000005.png,17.58984375,62.41015625
0000000005.png,17.59375,62.40625
0000000005.png,18.08984375,61.91015625
0000000005.png,18.078125,61.921875
0000000005.png,17.87109375,62.12890625
0000000005.png,17.7578125,62.2421875
0000000005.png,17.5546875,62.4453125
0000000005.png,17.53125,62.46875
0000000005.png,17.515625,62.484375
0000000005.png,17.5703125,62.4296875
0000000005.png,17.34765625,62.65234375
0000000005.png,17.19921875,62.80078125
0000000005.png,17.12109375,62.87890625
0000000005.png,16.84765625,63.15234375
0000000005.png,16.83984375,63.16015625
0000000005.png,16.81640625,63.18359375
0000000005.png,16.8515625,63.1484375
0000000005.png,16.83203125,63.16796875
0000000005.png,16.76171875,63.23828125
0000000005.png,16.4765625,63.5234375
0000000005.png,16.40625,63.59375
0000000005.png,16.4140625,63.5859375
0000000005.png,16.32421875,63.67578125
0000000005.png,16.31640625,63.68359375
0000000005.png,16.3203125,63.6796875
0000000005.png,16.29296875,63.70703125
0000000005.png,12.53515625,67.46484375
0000000005.png,36.80859375,43.19140625
0000000005.png,36.61328125,43.38671875
0000000005.png,17.59765625,62.40234375
0000000005.png,17.55078125,62.44921875
0000000005.png,18.08203125,61.91796875
0000000005.png,17.5234375,62.4765625
